"sales_order_id","order_date","customer_name","finished_product","quantity_ordered","required_delivery_date","status"
"SO-001","2025-01-17","BuildRight Hardware","Premium White Paint 4L","618","2025-02-04","Delivered"
"SO-002","2025-01-10","Kerjaya Bina Bhd","Premium White Paint 4L","107","2025-02-05","Delivered"
"SO-003","2025-01-19","Sime Darby Property","Anti-Rust Coating","743","2025-02-14","Delivered"
"SO-004","2025-02-19","Pavilion Retail Supplies","Industrial Grey Primer","131","2025-03-10","Delivered"
"SO-005","2025-02-18","Maybank Facilities Mgmt","Anti-Rust Coating","468","2025-03-20","Delivered"
"SO-006","2025-02-05","Maybank Facilities Mgmt","Marine Blue Coating","299","2025-03-06","Delivered"
"SO-007","2025-02-15","Sime Darby Property","Epoxy Floor Coating","371","2025-03-15","Delivered"
"SO-008","2025-03-05","SP Setia Hardware","Premium White Paint 1L","255","2025-03-25","Delivered"
"SO-009","2025-03-19","Sime Darby Property","Marine Blue Coating","310","2025-04-12","Delivered"
"SO-010","2025-03-18","UEM Sunrise Bhd","Anti-Rust Coating","301","2025-04-04","Delivered"
"SO-011","2025-03-04","IJM Corporation","Epoxy Floor Coating","775","2025-03-29","Delivered"
"SO-012","2025-04-15","Pavilion Retail Supplies","Anti-Rust Coating","543","2025-05-07","Delivered"
"SO-013","2025-04-19","Eco World Supplies","Anti-Rust Coating","585","2025-05-17","Delivered"
"SO-014","2025-04-14","Sunway Building Materials","Premium White Paint 4L","131","2025-05-04","Delivered"
"SO-015","2025-05-07","UEM Sunrise Bhd","Epoxy Floor Coating","167","2025-06-03","Delivered"
"SO-016","2025-05-13","Gamuda Trading","Clear Varnish","784","2025-06-08","Delivered"
"SO-017","2025-05-14","Sunway Building Materials","Marine Blue Coating","782","2025-06-09","Delivered"
"SO-018","2025-06-05","Eco World Supplies","Premium White Paint 4L","243","2025-06-21","Delivered"
"SO-019","2025-06-11","SP Setia Hardware","Premium White Paint 1L","475","2025-07-02","Delivered"
"SO-020","2025-06-09","BuildRight Hardware","Protective Roof Paint","756","2025-06-30","Delivered"
"SO-021","2025-07-20","BuildRight Hardware","Protective Roof Paint","528","2025-08-12","Delivered"
"SO-022","2025-07-10","IJM Corporation","Epoxy Floor Coating","384","2025-08-08","Delivered"
"SO-023","2025-07-07","Gamuda Trading","Premium White Paint 1L","459","2025-07-31","Delivered"
"SO-024","2025-08-14","SP Setia Hardware","Anti-Rust Coating","494","2025-09-12","Delivered"
"SO-025","2025-08-08","Gamuda Trading","Automotive Red Paint","379","2025-08-29","Delivered"
"SO-026","2025-08-03","Kerjaya Bina Bhd","Epoxy Floor Coating","132","2025-08-28","Delivered"
"SO-027","2025-08-17","Pavilion Retail Supplies","Marine Blue Coating","594","2025-09-12","Delivered"
"SO-028","2025-08-10","Metro Paint Supplies","Epoxy Floor Coating","522","2025-09-02","Delivered"
"SO-029","2025-09-11","BuildRight Hardware","Marine Blue Coating","678","2025-10-11","Delivered"
"SO-030","2025-09-15","Nippon Construction Sdn Bhd","Marine Blue Coating","325","2025-10-03","Delivered"
"SO-031","2025-09-10","UEM Sunrise Bhd","Premium White Paint 4L","365","2025-10-08","Delivered"
"SO-032","2025-10-04","YTL Hardware Centre","Premium White Paint 4L","697","2025-10-31","Delivered"
"SO-033","2025-10-09","Metro Paint Supplies","Wood Stain Brown","486","2025-11-07","Delivered"
"SO-034","2025-10-12","Sunway Building Materials","Premium White Paint 4L","233","2025-10-30","Delivered"
"SO-035","2025-11-20","Pavilion Retail Supplies","Epoxy Floor Coating","594","2025-12-11","Delivered"
"SO-036","2025-11-01","YTL Hardware Centre","Premium White Paint 1L","523","2025-11-22","Delivered"
"SO-037","2025-11-06","YTL Hardware Centre","Epoxy Floor Coating","438","2025-11-27","Delivered"
"SO-038","2025-11-08","IJM Corporation","Premium White Paint 4L","444","2025-11-29","Delivered"
"SO-039","2025-12-03","Kerjaya Bina Bhd","Protective Roof Paint","500","2026-01-10","Open"
"SO-040","2025-12-08","Sime Darby Property","Premium White Paint 4L","400","2026-01-15","Open"
"SO-041","2025-12-10","Gamuda Trading","Premium White Paint 1L","600","2026-01-20","Open"
"SO-042","2025-12-15","SP Setia Hardware","Protective Roof Paint","300","2026-01-25","Open"
"SO-043","2025-12-18","Eco World Supplies","Premium White Paint 4L","350","2026-02-01","Open"
"SO-044","2025-12-14","Pavilion Retail Supplies","Industrial Grey Primer","364","2026-01-11","Open"
"SO-045","2025-12-27","Maybank Facilities Mgmt","Marine Blue Coating","275","2026-01-24","Open"
"SO-046","2025-12-20","Top Glove Facilities","Automotive Red Paint","159","2026-01-17","Open"
"SO-047","2025-12-03","YTL Hardware Centre","Epoxy Floor Coating","385","2025-12-31","Open"
"SO-048","2025-12-08","BuildRight Hardware","Wood Stain Brown","225","2026-01-05","Open"
